month,product,region,units_sold,unit_price,revenue,cost
2025-01,Widget A,North,150,25.99,3898.50,2100.00
2025-01,Widget A,South,120,25.99,3118.80,1680.00
2025-01,Widget B,North,80,49.99,3999.20,2400.00
2025-01,Widget B,South,65,49.99,3249.35,1950.00
2025-01,Gadget X,North,200,15.50,3100.00,2000.00
2025-01,Gadget X,South,175,15.50,2712.50,1750.00
2025-02,Widget A,North,165,25.99,4288.35,2310.00
2025-02,Widget A,South,140,25.99,3638.60,1960.00
2025-02,Widget B,North,95,49.99,4749.05,2850.00
2025-02,Widget B,South,70,49.99,3499.30,2100.00
2025-02,Gadget X,North,210,15.50,3255.00,2100.00
2025-02,Gadget X,South,190,15.50,2945.00,1900.00
2025-03,Widget A,North,180,25.99,4678.20,2520.00
2025-03,Widget A,South,155,25.99,4028.45,2170.00
2025-03,Widget B,North,110,49.99,5498.90,3300.00
2025-03,Widget B,South,85,49.99,4249.15,2550.00
2025-03,Gadget X,North,225,15.50,3487.50,2250.00
2025-03,Gadget X,South,200,15.50,3100.00,2000.00
2025-04,Widget A,North,170,25.99,4418.30,2380.00
2025-04,Widget A,South,130,25.99,3378.70,1820.00
2025-04,Widget B,North,100,49.99,4999.00,3000.00
2025-04,Widget B,South,75,49.99,3749.25,2250.00
2025-04,Gadget X,North,195,15.50,3022.50,1950.00
2025-04,Gadget X,South,180,15.50,2790.00,1800.00
